
ha	expressing surprise [interj]
homologizer	"one who homologizes, also homologiser [n -s]"
homologizers	"homologizer, one who homologizes, also homologiser [n]"
homologizes	"homologize, to determine the homologies or structural relations of, also homologise [v]"
homologizing	"homologize, to determine the homologies or structural relations of, also homologise [v]"
homologoumena	"the books of the new testament whose authenticity was universally acknowledged in the early church, also homologumena [n]"
homologous	"having the same relative structure, also homological [adj]"
homolographic	"of a map projection, showing area accurately and therefore distorting shape and direction, also homalographic [adj]"
homologs	"homolog, anything that is homologous to something else [n]"
homologue	a thing exactly or relatively corresponding in structure [n -s]
homologues	"homologue, a thing exactly or relatively corresponding in structure [n]"
homologumena	"the books of the new testament whose authenticity was universally acknowledged in the early church, also homologoumena [n]"
homology	similarity in structure and origin [n homologies]
homolosine	"as in homolosine projection, an equal-area projection map of the globe [adj]"
homolyses	"homolysis, decomposition into two uncharged atoms or radicals [n]"
homolysis	decomposition into two uncharged atoms or radicals [n homolyses]
homolytic	decomposing into two uncharged atoms or radicals [adj]
homomorph	a thing having the same form as another [n -s]
homomorphic	relating to homomorphism [adj]
homomorphies	"homomorphy, similarity in form, as of the flowers of a plant, also homeomorphy [n]"
homomorphism	"similarity of external form, appearance, or size [n -s]"
homomorphisms	"homomorphism, similarity of external form, appearance, or size [n]"
homomorphoses	"homomorphosis, regeneration of a lost part in the original form [n]"
homomorphosis	regeneration of a lost part in the original form [n homomorphoses]
homomorphous	"alike in form, esp. if essentially different otherwise [adj]"
homomorphs	"homomorph, a thing having the same form as another [n]"
homomorphy	"similarity in form, as of the flowers of a plant, also homeomorphy [n homomorphies]"
homonuclear	of or relating to a molecule composed of identical nuclei [adj]
homonym	a word similar in structure to another [n -s]
homonymic	"relating to homonyms, words having the same sound but different meanings [adj]"
homonymies	"homonymy, the state of being a homonym [n]"
homonymities	"homonymity, the state of being homonymous, having the same name or designation [n]"
homonymity	"the state of being homonymous, having the same name or designation [n homonymities]"
homonymous	"of the nature of homonyms, said of words identical in sound but different in sense [adj homonymously]"
homonymously	"homonymous, of the nature of homonyms, said of words identical in sound but different in sense [adv]"
homonyms	"homonym, a word similar in structure to another [n]"
homonymy	the state of being a homonym [n homonymies]
homoousian	"one of those, in the 4th century, who accepted the nicene creed, and maintained that the son had the same essence or substance with the father [n -s]"
homoousians	"homoousian, one of those, in the 4th century, who accepted the nicene creed, and maintained that the son had the same essence or substance with the father [n]"
homophile	a homosexual [n -s]
homophiles	"homophile, a homosexual [n]"
homophobe	one who dislikes homosexuals [n -s]
homophobes	"homophobe, one who dislikes homosexuals [n]"
homophobia	fear of homosexuals [n -s]
homophobias	"homophobia, fear of homosexuals [n]"
homophobic	having a morbid fear of homosexuals [adj]
homophone	"a word that sounds the same as another but is spelt differently e.g. 'to', 'too' and 'two' [n -s]"
homophones	"homophone, a word that sounds the same as another but is spelt differently e.g. 'to', 'too' and 'two' [n]"
homophonic	in a single melodic line with accompaniment [adj homophonically]
homophonically	"homophonic, in a single melodic line with accompaniment [adv]"
homophonies	"homophony, sameness of sound [n]"
homophonous	"exhibiting homophonous, sameness of sound [adj]"
homophony	sameness of sound [n homophonies]
homophylies	"homophyly, resemblance due to common ancestry [n]"
homophyllic	"exhibiting homophyly, resemblance due to common ancestry [adj]"
homophyly	resemblance due to common ancestry [n homophylies]
homoplasies	"homoplasy, the quality or fact of being homoplastic, also homoplasty [n]"
homoplasmies	"homoplasmy, the quality or fact of being homoplastic [n]"
homoplasmy	the quality or fact of being homoplastic [n homoplasmies]
homoplastic	similar in structure and development but not descended from a recent common source [adj homoplastically]
homoplastically	"homoplastic, similar in structure and development but not descended from a recent common source [adv]"
homoplasties	"homoplasty, the quality or fact of being homoplastic, also homoplasy [n]"
homoplasty	"the quality or fact of being homoplastic, also homoplasy [n homoplasties]"
homoplasy	"the quality or fact of being homoplastic, also homoplasty [n homoplasies]"
homopolar	"having an equal distribution of charge, as in a covalent bond [adj]"
homopolarities	"homopolarity, the state of being homopolar [n]"
homopolarity	the state of being homopolar [n homopolarities]
homopolymer	a dna or rna strand whose nucleotides are all of the same kind [n -s]
homopolymeric	of or like a homopolymer [adj]
homopolymers	"homopolymer, a dna or rna strand whose nucleotides are all of the same kind [n]"
homopteran	"a member of the homoptera, cicadas, froghoppers etc. [n -s]"
homopterans	"homopteran, a member of the homoptera, cicadas, froghoppers etc. [n]"
homopterous	"relating to the homoptera, aphids, cicadas, and scale insects [adj]"
homorganic	"of a consonant, articulated at the same point in the vocal tract as a consonant in a different class [adj]"
homos	"homo, (latin) man generically [n]"
homoscedastic	of equal scatter or variation; having equal variances [adj]
homosex	(short for) homosexuality [n -es]
homosexes	"homosex, (short for) homosexuality [n]"
homosexual	attracted to the same sex [adj homosexually] / a homosexual person and esp. a male [n -s]
homosexualism	being homosexual [n -s]
homosexualisms	"homosexualism, being homosexual [n]"
homosexualist	a homosexual [n -s]
homosexualists	"homosexualist, a homosexual [n]"
homosexualities	"homosexuality, the state of being homosexual [n]"
homosexuality	the state of being homosexual [n homosexualities]
homosexually	"homosexual, attracted to the same sex [adv]"
homosexuals	"homosexual, a homosexual person and esp. a male [n]"
homosocial	"of, relating to, or involving social relationships between persons of the same sex and esp. between men [adj]"
homosocialities	"homosociality, the state of being homosocial [n]"
homosociality	the state of being homosocial [n homosocialities]
homospories	"homospory, having spores all of one kind [n]"
homosporous	"producing only one size or kind of spore, as opposed to heterosporous [adj]"
homospory	having spores all of one kind [n homospories]
homostylies	"homostyly, in flowers, the existence of styles of only one length [n]"
homostyly	"in flowers, the existence of styles of only one length [n homostylies]"
homotaxes	"homotaxis, coincidence in order of organic succession but not necessarily in time [n]"
homotaxial	"showing homotaxis, also homotaxic [adj homotaxially]"
homotaxially	"homotaxial, showing homotaxis, also homotaxic [adv]"
homotaxic	"showing homotaxis, also homotaxial [adj]"
homotaxis	coincidence in order of organic succession but not necessarily in time [n homotaxes]
homothallic	male and female organs in the same thallus [adj]
homothallies	"homothally, the state of having only one type of mycelium, also homothallism [n]"
homothallism	"the state of having only one type of mycelium, also homothally [n -s]"
homothallisms	"homothallism, the state of having only one type of mycelium, also homothally [n]"
homothally	"the state of having only one type of mycelium, also homothallism [n homothallies]"
homothermal	"keeping the same temperature, warm-blooded, also homeothermal, homoeothermal, homoeothermic, homoeothermous, homoiothermal, homothermic [adj]"
homothermic	"keeping the same temperature, warm-blooded, also homeothermal, homoeothermal, homoeothermic, homoeothermous, homoiothermal, homothermal [adj]"
homothermies	"homothermy, the maintenance of a constant body temperature, also homeothermism, homeothermy, homoiothermy [n]"
homothermous	"keeping the same temperature, warm-blooded [adj]"
homothermy	"the maintenance of a constant body temperature, also homeothermism, homeothermy, homoiothermy [n homothermies]"
homotonic	"of the same tenor or tone, also homotonous [adj]"
homotonies	"homotony, harmony of tone [n]"
homotonous	"of the same tenor or tone, also homotonic [adj]"
homotony	harmony of tone [n homotonies]
homotransplant	a graft of tissue from one individual to another of the same species [n -s]
homotransplants	"homotransplant, a graft of tissue from one individual to another of the same species [n]"
homotypal	"of the same type of structure; pertaining to a homotype; as, homotypal parts [adj]"
homotype	something with the same basic structure as another [n -s]
homotypes	"homotype, something with the same basic structure as another [n]"
homotypic	conforming to normal type [adj]
homotypies	"homotypy, the relation of homotypes [n]"
homotypy	the relation of homotypes [n homotypies]
homousian	one who believes god the son to be the same as god the father [n -s]
homousians	"homousian, one who believes god the son to be the same as god the father [n]"
homozygoses	"homozygosis, the condition of being a homozygote [n]"
homozygosis	the condition of being a homozygote [n homozygoses]
homozygosities	"homozygosity, the state of being homozygous, inheriting a given genetic factor from both parents [n]"
