
ma	(colloquial) mother [n -s]
microfibre	"a cloth of tightly woven synthetic fibre, also microfiber [n -s]"
microfibres	"microfibre, a cloth of tightly woven synthetic fibre, also microfiber [n]"
microfibril	a fine fibril [n -s]
microfibrillar	"of or like a microfibril, a fine fibril [adj]"
microfibrils	"microfibril, a fine fibril [n]"
microfiche	a sheet of microfilm containing rows of images of pages of printed matter [n -s]
microfiches	"microfiche, a sheet of microfilm containing rows of images of pages of printed matter [n]"
microfilament	a very thin filament present in large numbers in muscle and the cytoplasm of other cells [n -s]
microfilaments	"microfilament, a very thin filament present in large numbers in muscle and the cytoplasm of other cells [n]"
microfilaria	the minute larval form of a filarial worm [n microfilariae]
microfilariae	"microfilaria, the minute larval form of a filarial worm [n]"
microfilarial	"microfilaria, the minute larval form of a filarial worm [adj]"
microfiling	the process of microfilming the contents of a file [n -s]
microfilings	"microfiling, the process of microfilming the contents of a file [n]"
microfilm	"to make a microfilm copy of, a photographic film with one or more very small images of printed or other graphic matter [v -ed, -ing, -s]"
microfilmable	capable of being transferred to microfilm [adj]
microfilmed	"microfilm, to make a microfilm copy of, a photographic film with one or more very small images of printed or other graphic matter [v]"
microfilmer	one who works with microfilm [n -s]
microfilmers	"microfilmer, one who works with microfilm [n]"
microfilming	"microfilm, to make a microfilm copy of, a photographic film with one or more very small images of printed or other graphic matter [v]"
microfilms	"microfilm, to make a microfilm copy of, a photographic film with one or more very small images of printed or other graphic matter [v]"
microfilter	a very small filter [n -s]
microfilters	"microfilter, a very small filter [n]"
microfloppies	"microfloppy, a small floppy disk [n]"
microfloppy	a small floppy disk [n microfloppies]
microflora	"very small plants, not visible to the naked eye [n microflorae or microfloras]"
microflorae	"microflora, very small plants, not visible to the naked eye [n]"
microfloral	"relating to microflora, very small plants [adj]"
microfloras	"microflora, very small plants, not visible to the naked eye [n]"
microform	a process for reproducing printed matter in much reduced size [n -s]
microforms	"microform, a process for reproducing printed matter in much reduced size [n]"
microfossil	a very small fossil [n -s]
microfossils	"microfossil, a very small fossil [n]"
microfungi	"microfungus, a very small fungus [n]"
microfungus	a very small fungus [n microfungi]
microgamete	"the smaller, generally the male, gamete [n -s]"
microgametes	"microgamete, the smaller, generally the male, gamete [n]"
microgametocyte	a gametocyte producing microgametes [n]
microgeneration	"the small-scale generation of electrical power, through means such as solar or wind power [n]"
microglia	a type of non-nervous tissue found in the central nervous system [n -s]
microglias	"microglia, a type of non-nervous tissue found in the central nervous system [n]"
microgram	a millionth of a gram [n -s]
micrograms	"microgram, a millionth of a gram [n]"
microgranite	a minutely crystalline variety of granite [n -s]
microgranites	"microgranite, a minutely crystalline variety of granite [n]"
microgranitic	"of or like microgranite, a minutely crystalline variety of granite [adj]"
micrograph	"an instrument used to write on a very small scale [n -s] / to write with a micrograph [v -ed, -ing, -s]"
micrographed	"micrograph, to write with a micrograph [v]"
micrographer	a person who draws or describes microscopic objects [n -s]
micrographers	"micrographer, a person who draws or describes microscopic objects [n]"
micrographic	"relating to micrographics, the production of photographically reduced texts [adj]"
micrographics	the industry concerned with the manufacture and sale of graphic material in microform [n]
micrographies	"micrography, the art of writing on a very small scale [n]"
micrographing	"micrograph, to write with a micrograph [v]"
micrographs	"micrograph, an instrument used to write on a very small scale [n]"
micrography	the art of writing on a very small scale [n micrographies]
microgravities	"microgravity, a condition in space in which only minuscule forces are experienced [n]"
microgravity	a condition in space in which only minuscule forces are experienced [n microgravities]
microgreens	"the shoots of young salad plants, served as a vegetable dish [n]"
microgroove	the fine groove of long-playing gramophone records [n -s]
microgrooves	"microgroove, the fine groove of long-playing gramophone records [n]"
microhabitat	the microenvironment in which an organism lives [n -s]
microhabitats	"microhabitat, the microenvironment in which an organism lives [n]"
microhm	"a unit of electrical resistance, the millionth part of an ohm [n -s]"
microhms	"microhm, a unit of electrical resistance, the millionth part of an ohm [n]"
microimage	a very small image [n -s]
microimages	"microimage, a very small image [n]"
microinch	one millionth of an inch [n -es]
microinches	"microinch, one millionth of an inch [n]"
microinject	"to inject (a substance) into a microscopic object, esp. a single cell [v -ed, -ing, -s]"
microinjected	"microinject, to inject (a substance) into a microscopic object, esp. a single cell [v]"
microinjecting	"microinject, to inject (a substance) into a microscopic object, esp. a single cell [v]"
microinjection	"an injection, e.g. into a single cell, performed under a microscope [n -s]"
microinjections	"microinjection, an injection, e.g. into a single cell, performed under a microscope [n]"
microinjects	"microinject, to inject (a substance) into a microscopic object, esp. a single cell [v]"
microjet	a light jet aircraft [n -s]
microjets	"microjet, a light jet aircraft [n]"
microlight	a very light aircraft [n -s]
microlighting	the activity or sport of flying microlight aircraft [n -s]
microlightings	"microlighting, the activity or sport of flying microlight aircraft [n]"
microlights	"microlight, a very light aircraft [n]"
microlite	"a rare mineral of resinous luster and high specific gravity, a tantalate of calcium [n -s]"
microliter	"a millionth of a liter, also microlitre [n -s]"
microliters	"microliter, a millionth of a liter, also microlitre [n]"
microlites	"microlite, a rare mineral of resinous luster and high specific gravity, a tantalate of calcium [n]"
microlith	a very small stone tool [n -s]
microlithic	of or like a microlith [adj]
microliths	"microlith, a very small stone tool [n]"
microlitic	"of or like microlite, a rare mineral of resinous luster and high specific gravity [adj]"
microlitre	"a millionth of a litre, also microliter [n -s]"
microlitres	"microlitre, a millionth of a litre, also microliter [n]"
microloan	a very small loan [n -s]
microloans	"microloan, a very small loan [n]"
micrologic	"relating to micrology, also micrological [adj micrologically]"
micrological	"relating to micrology, also micrologic [adj micrologically]"
micrologically	"micrological, relating to micrology, also micrologic [adv]"
micrologies	"micrology, the branch of science which depends on the use of a microscope [n]"
micrologist	"a practitioner of micrology, the branch of science which depends on the use of a microscope [n -s]"
micrologists	"micrologist, a practitioner of micrology, the branch of science which depends on the use of a microscope [n]"
micrology	the branch of science which depends on the use of a microscope [n micrologies]
microluces	"microlux, a unit of illumination [n]"
microlux	a unit of illumination [n microluxes or microluces]
microluxes	"microlux, a unit of illumination [n]"
micromanage	"to manage at a detailed level [v micromanaged, micromanaging, micromanages]"
micromanaged	"micromanage, to manage at a detailed level [v]"
micromanagement	management at a very detailed level [n]
micromanager	one who micromanages [n -s]
micromanagers	"micromanager, one who micromanages [n]"
micromanages	"micromanage, to manage at a detailed level [v]"
micromanaging	"micromanage, to manage at a detailed level [v]"
micromarketing	very small-scale marketing [n -s]
micromarketings	"micromarketing, very small-scale marketing [n]"
micromere	"a small cell formed by unequal division of an ovum or embryo, e.g. in sea urchins [n -s]"
micromeres	"micromere, a small cell formed by unequal division of an ovum or embryo, e.g. in sea urchins [n]"
micromesh	a very fine mesh [n -es]
micromeshes	"micromesh, a very fine mesh [n]"
micrometeorite	a very small meteorite [n -s]
micrometeorites	"micrometeorite, a very small meteorite [n]"
micrometeoritic	of or like a micrometeorite [adj]
micrometeoroid	a small meteoroid [n -s]
micrometeoroids	"micrometeoroid, a small meteoroid [n]"
micrometer	an instrument for measuring very small distances [n -s]
micrometers	"micrometer, an instrument for measuring very small distances [n]"
micromethod	a method (as of microanalysis) that requires only very small quantities of material or that involves the use of the microscope [n -s]
micromethods	"micromethod, a method (as of microanalysis) that requires only very small quantities of material or that involves the use of the microscope [n]"
micrometre	a millionth of a metre [n -s]
micrometres	"micrometre, a millionth of a metre [n]"
micrometric	"relating to micrometry, also micrometrical [adj]"
micrometrical	"relating to micrometry, also micrometric [adj]"
micrometries	"micrometry, the art of measuring with a micrometer [n]"
micrometry	the art of measuring with a micrometer [n micrometries]
micromho	a unit of electrical conductance [n -s]
micromhos	"micromho, a unit of electrical conductance [n]"
micromicrocurie	the trillionth part of a curie [n]
micromicrofarad	the trillionth part of a farad [n]
micromillimetre	a millionth part of a millimetre (now called a nanometre) [n]
micromini	something extremely small [n -s]
microminiature	made on a very small scale [adj]
microminis	"micromini, something extremely small [n]"
micromolar	"relating to a micromole, a millionth of a mole [adj]"
micromole	a millionth of a mole [n -s]
micromoles	"micromole, a millionth of a mole [n]"
micromorphology	"the microscopic structure of a material, as a mineral or a biological cell, aka microstructure [n]"
micromort	a unit of risk equal to a one in a million chance of dying [n -s]
micromorts	"micromort, a unit of risk equal to a one in a million chance of dying [n]"
micron	"a unit of length, also mikron [n microns or micra]"
micronation	an entity that resembles an independent nation or state but which is unrecognized by world governments or major international organisations [n -s]
micronations	"micronation, an entity that resembles an independent nation or state but which is unrecognized by world governments or major international organisations [n]"
microneedle	a very fine needle used in micromanipulation [n -s]
microneedles	"microneedle, a very fine needle used in micromanipulation [n]"
